TCC7

Teams:
Red Ravens:
Dr_OrangeFox_
Mini9573
thedracobee

Orange Oozes:
Cronism
FlowerFlam
JuztKillz

Mustard Mummies:
Stripes
EndingSoon
_TresLeches

Lime Liches:
AlexTK473
GamingGuy907
mMiror

Blue Banshees:
Cheeetahs
CryoKlout
KaydenCoolio

Violet Vampires:
RoyAwesomeR
SolarFalcon
Xd_Hashbrown

Fuchsia Frankensteins:
APurplePenguin
foufouv
Smarsian

Games:
Game 1: TGTTOS
Points:
1 Stripes 12
2 GamingGuy907 11
3 mMiror 5
4 FlowerFlam 4
5 JuztKillz 4
6 KaydenCoolio 4
7 Smarsian 2
8 thedracobee 2
9 Cheeetahs 1

Game 2: SB
Points:
1 FlowerFlam 16.5
2 RoyAwesomeR 10.5
3 thedracobee 9
4 JuztKillz 7.5
5 Xd_Hashbrown 7.5
6 Cronism 6
7 _TresLeches 6
8 Dr_OrangeFox_ 3
9 Stripes 1.5

Game 3: RSR
Points:
1 RoyAwesomeR 20
2 thedracobee 18
3 KaydenCoolio 12
4 JuztKillz 10
5 Cheeetahs 10
6 mMiror 8
7 Xd_Hashbrown 6
8 Stripes 6

Game 4: HITW
Points:
1 GamingGuy907 25
2 Stripes 17.5
3 Cheeetahs 15
4 JuztKillz 15
5 APurplePenguin 12.5
6 EndingSoon 10
7 AlexTK473 10
8 KaydenCoolio 5
9 thedracobee 2.5

Game 5: PKW
Points:
1 Smarsian 39
2 Stripes 36
3 JuztKillz 27
4 RoyAwesomeR 27
5 Xd_Hashbrown 27
6 thedracobee 21
7 GamingGuy907 21
8 mMiror 21
9 Cheeetahs 18
10 APurplePenguin 18
11 FlowerFlam 9
12 KaydenCoolio 9
